dataset,sample_size,noise_level,clf_type,regularization_value,train_acc,test_acc,train_std,test_std,acc_diff,k
circles,500,0.2,knn,-,1.0,0.55,0.0,0.12041594578792293,0.44999999999999996,1
circles,500,0.2,knn,-,0.788888888888889,0.63,0.022222222222222223,0.1268857754044952,0.15888888888888897,3
circles,500,0.2,knn,-,0.7711111111111111,0.6299999999999999,0.023412563895228305,0.1268857754044952,0.1411111111111112,5
circles,500,0.2,knn,-,0.7411111111111112,0.6,0.029418227321941617,0.2,0.1411111111111112,7
circles,500,0.2,knn,-,0.6977777777777777,0.6,0.03212629398844658,0.18439088914585777,0.09777777777777774,9
circles,500,0.2,knn,-,0.6877777777777778,0.6,0.034228715112776364,0.18439088914585774,0.08777777777777784,11
circles,500,0.2,knn,-,0.6711111111111112,0.5399999999999999,0.03227964232518655,0.16852299546352717,0.1311111111111113,13
circles,500,0.2,knn,-,0.6133333333333334,0.5800000000000001,0.029313124351717613,0.15362291495737218,0.033333333333333326,15
circles,500,0.2,knn,-,0.6044444444444445,0.5399999999999999,0.03071172213574501,0.1624807680927192,0.06444444444444453,17
circles,500,0.2,knn,-,0.5988888888888889,0.6,0.03312900336861239,0.18973665961010278,-0.0011111111111110628,19
circles,500,0.2,log_reg,0.001,0.52,0.5199999999999999,0.004444444444444473,0.039999999999999994,1.1102230246251565e-16,-
circles,500,0.2,log_reg,0.01,0.5233333333333333,0.5199999999999999,0.007777777777777768,0.039999999999999994,0.0033333333333334103,-
circles,500,0.2,log_reg,0.1,0.5755555555555555,0.42000000000000004,0.025724082006200497,0.1777638883463118,0.15555555555555545,-
circles,500,0.2,log_reg,1,0.5788888888888888,0.48999999999999994,0.020153730163574517,0.2022374841615668,0.08888888888888885,-
circles,500,0.2,log_reg,10,0.5799999999999998,0.5099999999999999,0.02372684056006958,0.22561028345356957,0.06999999999999995,-
circles,500,0.2,log_reg,100,0.5799999999999998,0.5099999999999999,0.02154524381073923,0.22561028345356957,0.06999999999999995,-
circles,500,0.2,log_reg,1000,0.5799999999999998,0.5099999999999999,0.02154524381073923,0.22561028345356957,0.06999999999999995,-
circles,500,0.2,knn,-,1.0,0.47000000000000003,0.0,0.17349351572897473,0.53,1
circles,500,0.2,knn,-,0.7511111111111111,0.51,0.027307123838765577,0.18681541692269404,0.24111111111111105,3
circles,500,0.2,knn,-,0.7133333333333335,0.51,0.02619961360567022,0.17,0.20333333333333348,5
circles,500,0.2,knn,-,0.6766666666666667,0.5,0.0370018351229927,0.17320508075688773,0.17666666666666675,7
circles,500,0.2,knn,-,0.6811111111111112,0.49000000000000005,0.029834936849105667,0.157797338380595,0.19111111111111118,9
circles,500,0.2,knn,-,0.6644444444444446,0.49000000000000005,0.034354721852756225,0.15779733838059498,0.17444444444444457,11
circles,500,0.2,knn,-,0.6522222222222223,0.56,0.029834936849105667,0.1854723699099141,0.0922222222222222,13
circles,500,0.2,knn,-,0.6377777777777777,0.55,0.02989694232683047,0.15652475842498528,0.08777777777777762,15
circles,500,0.2,knn,-,0.6366666666666665,0.5399999999999999,0.013193713430042135,0.14966629547095764,0.09666666666666657,17
circles,500,0.2,knn,-,0.6266666666666666,0.53,0.022333056935824203,0.17349351572897473,0.09666666666666657,19
circles,500,0.2,log_reg,0.001,0.53,0.53,0.005091750772173138,0.04582575694955839,0.0,-
circles,500,0.2,log_reg,0.01,0.53,0.53,0.005091750772173138,0.04582575694955839,0.0,-
circles,500,0.2,log_reg,0.1,0.5422222222222223,0.45,0.01387777332977421,0.12041594578792293,0.09222222222222226,-
circles,500,0.2,log_reg,1,0.5533333333333333,0.39999999999999997,0.020964402515681334,0.1341640786499874,0.15333333333333338,-
circles,500,0.2,log_reg,10,0.5444444444444445,0.41,0.022222222222222227,0.1374772708486752,0.13444444444444453,-
circles,500,0.2,log_reg,100,0.5444444444444445,0.4,0.022222222222222227,0.1414213562373095,0.1444444444444445,-
circles,500,0.2,log_reg,1000,0.5444444444444445,0.4,0.022222222222222227,0.1414213562373095,0.1444444444444445,-
circles,500,0.2,knn,-,1.0,0.48,0.0,0.1777638883463118,0.52,1
circles,500,0.2,knn,-,0.7844444444444443,0.5,0.021773242158072706,0.2280350850198276,0.2844444444444443,3
circles,500,0.2,knn,-,0.711111111111111,0.4999999999999999,0.025819888974716116,0.20493901531919195,0.21111111111111114,5
circles,500,0.2,knn,-,0.6711111111111112,0.51,0.031505437508350734,0.15132745950421553,0.1611111111111112,7
circles,500,0.2,knn,-,0.6900000000000001,0.5799999999999998,0.022470831573507412,0.14696938456699069,0.11000000000000021,9
circles,500,0.2,knn,-,0.6966666666666667,0.58,0.0227980939207591,0.16,0.1166666666666667,11
circles,500,0.2,knn,-,0.6888888888888889,0.52,0.020487876571761952,0.19899748742132398,0.16888888888888887,13
circles,500,0.2,knn,-,0.6722222222222223,0.5,0.03415650255319865,0.1732050807568877,0.17222222222222228,15
circles,500,0.2,knn,-,0.6722222222222223,0.4800000000000001,0.029502040105226113,0.17204650534085253,0.19222222222222218,17
circles,500,0.2,knn,-,0.6522222222222223,0.43,0.031446603773522014,0.1615549442140351,0.22222222222222227,19
circles,500,0.2,log_reg,0.001,0.57,0.57,0.005091750772173138,0.04582575694955839,0.0,-
circles,500,0.2,log_reg,0.01,0.57,0.57,0.005091750772173138,0.04582575694955839,0.0,-
circles,500,0.2,log_reg,0.1,0.5677777777777777,0.5599999999999999,0.00598351645237165,0.06633249580710798,0.007777777777777772,-
circles,500,0.2,log_reg,1,0.5433333333333333,0.48,0.0323751161874077,0.10770329614269007,0.06333333333333335,-
circles,500,0.2,log_reg,10,0.5388888888888889,0.5,0.039829885175410945,0.1183215956619923,0.03888888888888886,-
circles,500,0.2,log_reg,100,0.54,0.5,0.03918931575232978,0.1183215956619923,0.040000000000000036,-
circles,500,0.2,log_reg,1000,0.54,0.5,0.03918931575232978,0.1183215956619923,0.040000000000000036,-
circles,500,0.2,knn,-,1.0,0.69,0.0,0.11357816691600549,0.31000000000000005,1
circles,500,0.2,knn,-,0.8400000000000001,0.62,0.01735611039090367,0.1077032961426901,0.22000000000000008,3
circles,500,0.2,knn,-,0.7811111111111111,0.6199999999999999,0.026782157318208783,0.17776388834631177,0.1611111111111112,5
circles,500,0.2,knn,-,0.7366666666666667,0.62,0.018625616238044696,0.1777638883463118,0.1166666666666667,7
circles,500,0.2,knn,-,0.7355555555555556,0.6699999999999999,0.012957670877434001,0.1846618531261939,0.0655555555555557,9
circles,500,0.2,knn,-,0.7088888888888889,0.6599999999999999,0.03325917677132392,0.14966629547095764,0.04888888888888898,11
circles,500,0.2,knn,-,0.6855555555555556,0.65,0.008678055195451832,0.15652475842498528,0.03555555555555556,13
circles,500,0.2,knn,-,0.6677777777777779,0.6300000000000001,0.019531550923607716,0.1676305461424021,0.0377777777777778,15
circles,500,0.2,knn,-,0.6566666666666667,0.6300000000000001,0.015275252316519453,0.17916472867168917,0.026666666666666616,17
circles,500,0.2,knn,-,0.6533333333333333,0.65,0.026666666666666658,0.18027756377319948,0.0033333333333332993,19
circles,500,0.2,log_reg,0.001,0.6,0.5700000000000001,0.025337231668869746,0.1615549442140351,0.029999999999999916,-
circles,500,0.2,log_reg,0.01,0.6,0.58,0.02383067843280804,0.14696938456699066,0.020000000000000018,-
circles,500,0.2,log_reg,0.1,0.5966666666666667,0.5700000000000001,0.023856567281759892,0.1615549442140351,0.026666666666666616,-
circles,500,0.2,log_reg,1,0.5966666666666667,0.56,0.023856567281759902,0.15620499351813308,0.036666666666666625,-
circles,500,0.2,log_reg,10,0.5955555555555556,0.56,0.024944382578492966,0.15620499351813308,0.03555555555555556,-
circles,500,0.2,log_reg,100,0.5955555555555556,0.56,0.024944382578492966,0.15620499351813308,0.03555555555555556,-
circles,500,0.2,log_reg,1000,0.5955555555555556,0.56,0.024944382578492966,0.15620499351813308,0.03555555555555556,-
circles,500,0.2,knn,-,1.0,0.55,0.0,0.18574175621006708,0.44999999999999996,1
circles,500,0.2,knn,-,0.7522222222222222,0.4999999999999999,0.03260311278026937,0.14832396974191325,0.25222222222222235,3
circles,500,0.2,knn,-,0.6744444444444445,0.45,0.028995529668221973,0.15,0.2244444444444445,5
circles,500,0.2,knn,-,0.6222222222222222,0.4999999999999999,0.035136418446315355,0.15491933384829665,0.12222222222222234,7
circles,500,0.2,knn,-,0.6333333333333332,0.5399999999999999,0.03617515688022157,0.21540659228538017,0.09333333333333327,9
circles,500,0.2,knn,-,0.6399999999999999,0.5399999999999999,0.03590109871423005,0.17435595774162693,0.09999999999999998,11
circles,500,0.2,knn,-,0.6344444444444445,0.53,0.023013683530231088,0.1676305461424021,0.10444444444444445,13
circles,500,0.2,knn,-,0.6333333333333332,0.5599999999999999,0.012171612389003689,0.15620499351813308,0.07333333333333325,15
circles,500,0.2,knn,-,0.6211111111111111,0.5499999999999999,0.025067809272618837,0.15,0.07111111111111112,17
circles,500,0.2,knn,-,0.6055555555555555,0.5399999999999999,0.02343891456636556,0.16248076809271922,0.06555555555555559,19
circles,500,0.2,log_reg,0.001,0.53,0.53,0.005091750772173138,0.04582575694955839,0.0,-
circles,500,0.2,log_reg,0.01,0.53,0.53,0.005091750772173138,0.04582575694955839,0.0,-
circles,500,0.2,log_reg,0.1,0.6033333333333333,0.48,0.048951979493134866,0.17204650534085253,0.1233333333333333,-
circles,500,0.2,log_reg,1,0.5822222222222221,0.52,0.02685121327465461,0.18867962264113206,0.06222222222222207,-
circles,500,0.2,log_reg,10,0.5755555555555555,0.52,0.022662308949301293,0.18867962264113206,0.05555555555555547,-
circles,500,0.2,log_reg,100,0.5755555555555555,0.52,0.022662308949301293,0.18867962264113206,0.05555555555555547,-
circles,500,0.2,log_reg,1000,0.5755555555555555,0.52,0.022662308949301293,0.18867962264113206,0.05555555555555547,-
circles,500,0.2,knn,-,1.0,0.6799999999999999,0.0,0.14696938456699069,0.32000000000000006,1
circles,500,0.2,knn,-,0.8233333333333333,0.68,0.01888888888888889,0.198997487421324,0.1433333333333332,3
circles,500,0.2,knn,-,0.8122222222222222,0.7300000000000001,0.025067809272618813,0.14866068747318506,0.08222222222222209,5
circles,500,0.2,knn,-,0.7866666666666666,0.7300000000000001,0.02036700308869264,0.13453624047073712,0.05666666666666653,7
circles,500,0.2,knn,-,0.7666666666666666,0.7,0.015713484026367713,0.15491933384829668,0.06666666666666665,9
circles,500,0.2,knn,-,0.7422222222222222,0.6199999999999999,0.029313124351717602,0.1833030277982336,0.12222222222222234,11
circles,500,0.2,knn,-,0.7266666666666668,0.6,0.031111111111111096,0.17888543819998315,0.12666666666666682,13
circles,500,0.2,knn,-,0.6955555555555556,0.58,0.020608041101101565,0.16,0.11555555555555563,15
circles,500,0.2,knn,-,0.6744444444444445,0.53,0.023856567281759875,0.1615549442140351,0.1444444444444445,17
circles,500,0.2,knn,-,0.6555555555555557,0.53,0.039752319599996255,0.17349351572897473,0.12555555555555564,19
circles,500,0.2,log_reg,0.001,0.53,0.5299999999999999,0.005091750772173138,0.04582575694955839,1.1102230246251565e-16,-
circles,500,0.2,log_reg,0.01,0.53,0.5299999999999999,0.005091750772173138,0.04582575694955839,1.1102230246251565e-16,-
circles,500,0.2,log_reg,0.1,0.5233333333333332,0.45,0.035642255405212084,0.0670820393249937,0.0733333333333332,-
circles,500,0.2,log_reg,1,0.5333333333333334,0.44000000000000006,0.033333333333333326,0.11999999999999998,0.09333333333333338,-
circles,500,0.2,log_reg,10,0.5355555555555556,0.45000000000000007,0.030143688813890075,0.12845232578665128,0.0855555555555555,-
circles,500,0.2,log_reg,100,0.5344444444444445,0.45000000000000007,0.03081205471969344,0.12845232578665128,0.08444444444444443,-
circles,500,0.2,log_reg,1000,0.5344444444444445,0.45000000000000007,0.03081205471969344,0.12845232578665128,0.08444444444444443,-
circles,500,0.2,knn,-,1.0,0.61,0.0,0.16401219466856726,0.39,1
circles,500,0.2,knn,-,0.8111111111111111,0.64,0.014907119849998587,0.14282856857085702,0.1711111111111111,3
circles,500,0.2,knn,-,0.7922222222222223,0.6599999999999999,0.015752718754175356,0.12806248474865697,0.13222222222222235,5
circles,500,0.2,knn,-,0.7522222222222222,0.61,0.03222222222222223,0.157797338380595,0.14222222222222225,7
circles,500,0.2,knn,-,0.7011111111111111,0.5800000000000001,0.030812054719693425,0.13999999999999999,0.12111111111111106,9
circles,500,0.2,knn,-,0.6588888888888891,0.6,0.02333333333333332,0.08944271909999157,0.0588888888888891,11
circles,500,0.2,knn,-,0.6455555555555555,0.5499999999999999,0.02015373016357448,0.12041594578792293,0.09555555555555562,13
circles,500,0.2,knn,-,0.6255555555555554,0.5599999999999999,0.029834936849105674,0.142828568570857,0.06555555555555548,15
circles,500,0.2,knn,-,0.6044444444444445,0.53,0.019372884193514118,0.14177446878757824,0.07444444444444442,17
circles,500,0.2,knn,-,0.5888888888888888,0.53,0.02048787657176199,0.14177446878757824,0.05888888888888877,19
circles,500,0.2,log_reg,0.001,0.61,0.61,0.003333333333333355,0.029999999999999992,0.0,-
circles,500,0.2,log_reg,0.01,0.61,0.61,0.003333333333333355,0.029999999999999992,0.0,-
circles,500,0.2,log_reg,0.1,0.61,0.61,0.003333333333333355,0.029999999999999992,0.0,-
circles,500,0.2,log_reg,1,0.6244444444444445,0.6299999999999999,0.016329931618554505,0.045825756949558386,-0.005555555555555425,-
circles,500,0.2,log_reg,10,0.6311111111111111,0.6199999999999999,0.01777777777777776,0.08717797887081348,0.011111111111111183,-
circles,500,0.2,log_reg,100,0.6311111111111111,0.6199999999999999,0.01706921277304134,0.08717797887081348,0.011111111111111183,-
circles,500,0.2,log_reg,1000,0.6311111111111111,0.6199999999999999,0.01706921277304134,0.08717797887081348,0.011111111111111183,-
circles,500,0.2,knn,-,1.0,0.48999999999999994,0.0,0.12999999999999998,0.51,1
circles,500,0.2,knn,-,0.8111111111111111,0.56,0.019876159799998114,0.13564659966250536,0.25111111111111106,3
circles,500,0.2,knn,-,0.7300000000000001,0.5700000000000001,0.03065136494251939,0.20024984394500786,0.16000000000000003,5
circles,500,0.2,knn,-,0.6877777777777778,0.5900000000000001,0.028738927014172345,0.1972308292331602,0.09777777777777774,7
circles,500,0.2,knn,-,0.6911111111111111,0.57,0.019116278371205834,0.11874342087037916,0.12111111111111117,9
circles,500,0.2,knn,-,0.6711111111111111,0.5399999999999999,0.04309048762147849,0.16852299546352717,0.13111111111111118,11
circles,500,0.2,knn,-,0.6477777777777777,0.5900000000000001,0.026317153960726675,0.12206555615733701,0.057777777777777595,13
circles,500,0.2,knn,-,0.62,0.52,0.03134830217703531,0.11661903789690599,0.09999999999999998,15
circles,500,0.2,knn,-,0.6077777777777778,0.5999999999999999,0.02584378522136226,0.1,0.007777777777777883,17
circles,500,0.2,knn,-,0.6288888888888888,0.62,0.024444444444444435,0.09797958971132711,0.008888888888888835,19
circles,500,0.2,log_reg,0.001,0.5999999999999999,0.5999999999999999,1.1102230246251565e-16,1.1102230246251565e-16,0.0,-
circles,500,0.2,log_reg,0.01,0.5999999999999999,0.5999999999999999,1.1102230246251565e-16,1.1102230246251565e-16,0.0,-
circles,500,0.2,log_reg,0.1,0.5977777777777776,0.5999999999999999,0.006666666666666677,1.1102230246251565e-16,-0.0022222222222222365,-
circles,500,0.2,log_reg,1,0.5766666666666665,0.5199999999999999,0.020153730163574496,0.116619037896906,0.05666666666666664,-
circles,500,0.2,log_reg,10,0.5799999999999998,0.5,0.014740554623801793,0.15491933384829668,0.07999999999999985,-
